id,contract_id,bank,summa,loan_summa,claim_date,claim_id,contract_date
2925211,522530,003,500000000,0,13.02.2020,609965,17.02.2020
2925211,,014,,,28.08.2020,F00013731,
2925211,,014,,,08.10.2020,F00021301,
2925211,,014,,,25.11.2020,F00037907,
2925211,,053,,,09.12.2020,34852,
2925211,35163,053,510000000,0,15.12.2020,35163,21.12.2020
2925211,,014,,,26.01.2021,F00058018,
2925211,,014,,,08.07.2021,F00125905,
2925211,,062,,,12.07.2021,1535899,
2925211,,062,,,19.07.2021,1573562,
2925211,,009,,,07.07.2022,1296934,
2925211,,062,,,05.10.2022,5554725,
2925211,,014,,,22.11.2022,F00551424,
2925211,,063,,,23.11.2022,551830909,
2925211,,062,,,23.11.2022,6020431,
2925211,500873,055,500000000,0,09.12.2022,451262,12.12.2022
2925211,,014,,,05.01.2023,F00612689,
2925211,,014,,,08.02.2023,F00661674,
2925211,,014,,,31.05.2023,F00895512,
2925211,,062,,,08.06.2023,13497747,
2925211,,014,,,10.07.2023,F00081453,
2925211,,062,,,10.07.2023,13844974,
2925211,,014,,,08.08.2023,F01099265,
2925211,,014,,,14.08.2023,F00081469,
2925211,,014,,,12.09.2023,F01208844,
2925211,,014,,,18.09.2023,F00081484,
2925211,,014,,,13.10.2023,F01299305,
2925211,,014,,,14.11.2023,F01390677,
2925211,,014,,,20.11.2023,F00081529,
2925211,,063,,,12.12.2023,553916385,
2925211,,063,,,12.12.2023,553916471,
2925211,,063,,,12.12.2023,553917055,
2925211,,063,,,12.12.2023,553917253,
2925211,,063,,,12.12.2023,553918199,
2925211,,063,,,12.12.2023,553919210,
2925211,,063,,,12.12.2023,553919292,
2925211,,063,,,13.12.2023,553924738,
2925211,,063,,,13.12.2023,553925254,
2925211,,014,,,15.12.2023,F01488566,
2925211,,063,,,15.12.2023,553937368,
2925211,,063,,,15.12.2023,553937470,
2925211,,063,,,15.12.2023,553937495,
2925211,,063,,,15.12.2023,553937498,
2925211,,063,,,15.12.2023,553939870,
2925211,,063,,,15.12.2023,553941910,
2925211,,063,,,18.12.2023,553966065,
2925211,,063,,,18.12.2023,553966377,
2925211,,063,,,18.12.2023,553966818,
2925211,,063,,,18.12.2023,553967280,
2925211,,063,,,19.12.2023,553980562,
2925211,,063,,,20.12.2023,553985013,
2925211,,063,,,20.12.2023,553985222,
2925211,,063,,,22.12.2023,554005943,
2925211,,063,,,22.12.2023,554007321,
2925211,,063,,,25.12.2023,554032488,
2925211,,063,,,25.12.2023,554033101,
2925211,,063,,,26.12.2023,500010296,
2925211,,063,,,26.12.2023,554042327,
2925211,,063,,,28.12.2023,554064172,
2925211,,063,,,28.12.2023,554064222,
2925211,,063,,,03.01.2024,554123383,
2925211,,063,,,04.01.2024,554123495,
2925211,,063,,,04.01.2024,554123717,
2925211,,063,,,04.01.2024,554123737,
2925211,,063,,,04.01.2024,554123860,
2925211,,063,,,08.01.2024,500010398,
2925211,,063,,,08.01.2024,500010399,
2925211,,063,,,08.01.2024,500010400,
2925211,,063,,,09.01.2024,500010418,
2925211,,063,,,11.01.2024,500010455,
2925211,,063,,,12.01.2024,500010469,
2925211,,063,,,15.01.2024,500010508,
2925211,,063,,,15.01.2024,500010509,
2925211,,063,,,16.01.2024,554231454,
2925211,,014,,,17.01.2024,F01602545,
2925211,,063,,,17.01.2024,500010530,
2925211,,063,,,31.01.2024,554379703,
2925211,,063,,,07.02.2024,554447670,
